Company Name|Website|Submission Guidelines|Genre
TCK Publishing|www.tckpublishing.com|www.tckpublishing.com/submission-guidelines|Fiction, Non fiction eBooks, print books, Audiobooks in all major genres and niches
Reed Elsevier|www.reedelsevier.com.ph|www.journals.elsevier.com/journal-of-materiomics/policies-and-guidelines/submission-guideline|Academic, Learning
Penguin Random House|www.penguinrandomhouse.com|www.penguinrandomhouse.biz/manuscripts|Fiction, Non fiction, Poetry, mystery, Western, romance, science fiction, fantasy</td
Harper Collins|www.harpercollins.com|www.harpercollins.com/corporate/for-authors/submit-a-manuscript|Adult, Children, Christian
Simon & Schuster|www.simonandschuster.com|www.simonandschuster.biz/c/biz-manuscript-submissions|Science fiction, fantasy, Adult, Children
Phoenix Publishing and Media Company|www.en.ppm.cn|www.bowerbird.io/publications/1038-phoenix-publishing-and-media-group|Novels, Literary Non fiction, Anthologies
Phoenix Yard Books|www.phoenixyardbooks.com|www.phoenixyardbooks.com/submissions.php|Adult, Children, Fiction, Non fiction
Pan Macmillan|www.panmacmillan.com|www.panmacmillan.com.au/submissions|Fiction, Non fiction, Children
Bloomsbury|www.bloomsbury.com/uk|www.bloomsbury.com/us/authors/submissions|Adult Fiction &amp; Non fiction, Academic, Children&#39;s Fiction &amp; Non fiction, Military History, Nautical &amp; Sport, Natural History
Arbordale Publishing|www.arbordalepublishing.com|www.arbordalepublishing.com/Submissions.htm|Non fiction, Science, Math, Folklore
Arcade Publishing|www.skyhorsepublishing.com/arcade-publishing|www.skyhorsepublishing.com/arcade-publishing/submissions|Fiction, Non fiction
Arcadia Publishing|www.arcadiapublishing.com/Home|www.arcadiapublishing.com/ContactUs/MakeMeAnAuthor|History
Arkham House|www.arkhamhouse.com|www.arkhamhouse.com/mm5/merchant.mvc?Screen=CTUS|Weird Fiction
Armida Publications|www.armidabooks.com|www.armidabooks.com/submissions|Fiction, Non fiction
B &amp; W Publishing|blackandwhitepublishing.com|blackandwhitepublishing.com/submissions|Fiction, Non fiction, Children
Beacon Publishing|beaconpublishinginc.com|beaconpublishinginc.com/about/submissions|Thriller, Fiction, Non fiction
John Blake Publishing|johnblakebooks.com|johnblakebooks.com/submissions|Non fiction, Fiction, Health, History, Humour, Military, Mind, Body &amp; Sprit, Music, Science &amp; Natire, Sport, Travel, True Crime, True Life Stories
Capstone Publishers|www.capstonepub.com/library|www.capstonepub.com/library/service/submissions|Non fiction, Children&#39;s Books, Educational Books
Flame Tree Publishing|www.flametreepublishing.com|www.flametreepublishing.com/submissions.html|Fiction, Science fiction, Horror fiction
Morgan James Publishing|www.morgan-james-publishing.com|www.morgan-james-publishing.com/submit-a-proposal|Fiction, Non fiction, Faith, Kids
Manning Publications|www.manning.com|www.manning.com/write-for-us|Computers
Mother Tongue Publishing|www.mothertonguepublishing.com|www.mothertonguepublishing.com/submissions.html|Poetry, Fiction, Regional Art History, Photography, Anthologies
Medknow Publications|www.medknow.com|www.medknow.com/AuthorGuidelines.asp|Journal, Medicines
Tuttle Publishing|www.tuttlepublishing.com|www.tuttlepublishing.com/about-us/become-an-author|Asian Languages, Asian Food &amp; Cooking, Gardening &amp; Flower Arranging, Crafts &amp; Origami, Childrens Books, Martial Arts, Asian Literature, Games &amp; Graphic Novels, Asian History &amp; Culture, Health &amp; Fitness, Self-Help &amp; Eastern Religion, Asian Art &amp; Collectibles, Interior Design &amp; Architecture, Travel Guides, Maps, and Business Books
Tachyon Publications|tachyonpublications.com|tachyonpublications.com/about/submissions|Fiction, Science Fiction, Fantasy
City Lights Publishers|www.citylights.com/publishing|www.citylights.com/publishing/?fa=publishing_manuscripts|Children&#39;s Books
Dover Publications|store.doverpublications.com|marketlist.com/writers_markets/2517/dover-publications-inc|Music Books
Graywolf Press|graywolfpress.org|www.graywolfpress.org/resources/submission-and-contest-guidelines|Non fiction
Dorrance Publishing Company|www.dorrancepublishing.com|www.dorrancepublishing.com/services/manuscript-development|Fiction, Non-fiction, Poetry, Children&#39;s literature, Coffee table book
Gantec Publishing Solutions|www.gantecpublishing.com||Children&#39;s Books
Kensington Publishing Corp|www.kensingtonbooks.com|www.kensingtonbooks.com/page.aspx/submissions|Fiction, romance, womens fiction, African American, young adult, nonfiction, true-crime, western, mystery
Ripple Grove Press|www.ripplegrovepress.com|www.ripplegrovepress.com/submissions|Children&#39;s books
